timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
256,7.0,2,Two-Stage Op-Amp Configuration,-108.0645,100.0,0.0019,92.2971,1.0887
512,13.4,2,Two-Stage Op-Amp Configuration,-106.3928,100.0,0.0122,98.3793,1.0827
768,19.8,2,Two-Stage Op-Amp Configuration,-111.1516,100.0,-0.0106,101.5273,1.0878
1024,26.3,2,Two-Stage Op-Amp Configuration,-110.7304,100.0,0.0249,98.6498,1.0688
1280,33.9,2,Two-Stage Op-Amp Configuration,-105.9861,100.0,0.0528,107.8503,1.0391
1536,41.4,2,Two-Stage Op-Amp Configuration,-104.8946,100.0,0.0407,114.0542,1.0207
1792,48.8,2,Two-Stage Op-Amp Configuration,-104.4038,100.0,0.0423,127.5799,0.9970
2048,56.3,2,Two-Stage Op-Amp Configuration,-108.7192,100.0,0.0415,148.7678,0.9579
2304,63.8,2,Two-Stage Op-Amp Configuration,-104.4921,100.0,0.0456,155.2062,0.9660
2560,71.3,2,Two-Stage Op-Amp Configuration,-107.8248,100.0,0.0472,163.2337,0.9569
2816,79.8,2,Two-Stage Op-Amp Configuration,-106.9175,100.0,0.0123,171.3197,0.9594
3072,92.3,2,Two-Stage Op-Amp Configuration,-107.5228,100.0,0.0108,181.1721,0.9471
3328,101.2,2,Two-Stage Op-Amp Configuration,-108.3505,100.0,0.0043,182.5445,0.9430
3584,108.9,2,Two-Stage Op-Amp Configuration,-109.1843,100.0,0.0056,185.3738,0.9588
3840,116.6,2,Two-Stage Op-Amp Configuration,-110.4897,100.0,0.0074,193.6317,0.9461
4096,124.3,2,Two-Stage Op-Amp Configuration,-106.4162,100.0,0.0196,195.0839,0.9237
4352,131.9,2,Two-Stage Op-Amp Configuration,-109.4274,100.0,0.0378,195.6032,0.9102
4608,139.7,2,Two-Stage Op-Amp Configuration,-108.1968,100.0,0.0142,200.7530,0.9071
4864,147.6,2,Two-Stage Op-Amp Configuration,-106.5410,100.0,0.0100,197.2461,0.9134
5120,155.3,2,Two-Stage Op-Amp Configuration,-107.9278,100.0,0.0064,199.6062,0.9180
5376,163.0,2,Two-Stage Op-Amp Configuration,-104.7794,100.0,-0.0028,199.0455,0.9224
5632,170.8,2,Two-Stage Op-Amp Configuration,-106.9095,100.0,0.0209,192.2000,0.9181
5888,178.5,2,Two-Stage Op-Amp Configuration,-104.7023,100.0,0.0117,189.8530,0.9213
6144,186.0,2,Two-Stage Op-Amp Configuration,-99.3069,100.0,0.0287,185.2361,0.9077
6400,194.0,2,Two-Stage Op-Amp Configuration,-97.1190,100.0,-0.0065,181.3323,0.8936
6656,201.8,2,Two-Stage Op-Amp Configuration,-99.5189,100.0,0.0168,177.7666,0.9036
6912,209.8,2,Two-Stage Op-Amp Configuration,-101.1268,100.0,0.0257,175.4716,0.9055
7168,217.9,2,Two-Stage Op-Amp Configuration,-101.8240,100.0,0.0059,178.1423,0.9165
7424,226.0,2,Two-Stage Op-Amp Configuration,-104.1332,100.0,0.0229,180.3834,0.9101
7680,233.7,2,Two-Stage Op-Amp Configuration,-99.8798,100.0,0.0164,176.4203,0.8996
7936,241.5,2,Two-Stage Op-Amp Configuration,-100.5651,100.0,0.0164,175.5469,0.8841
8192,249.1,2,Two-Stage Op-Amp Configuration,-100.9119,100.0,0.0074,170.0461,0.8784
8448,256.5,2,Two-Stage Op-Amp Configuration,-98.8367,100.0,0.0171,171.1050,0.8819
8704,263.4,2,Two-Stage Op-Amp Configuration,-98.4899,100.0,0.0064,173.5157,0.8545
8960,270.3,2,Two-Stage Op-Amp Configuration,-94.6747,100.0,0.0087,162.8326,0.8615
9216,277.0,2,Two-Stage Op-Amp Configuration,-98.0016,100.0,0.0157,162.3638,0.8364
9472,283.9,2,Two-Stage Op-Amp Configuration,-97.0597,100.0,0.0092,163.4312,0.8230
9728,290.9,2,Two-Stage Op-Amp Configuration,-97.7694,100.0,0.0098,163.4441,0.8230
9984,297.7,2,Two-Stage Op-Amp Configuration,-100.2422,100.0,0.0068,160.8058,0.8078
10240,304.3,2,Two-Stage Op-Amp Configuration,-97.3721,100.0,-0.0060,166.1718,0.7846
10496,311.3,2,Two-Stage Op-Amp Configuration,-95.4773,100.0,-0.0040,161.9616,0.7516
