timestep,elapsed,episodes,mean_reward,mean_len,policy_loss,value_loss,entropy
128,4.1,1,-113.2069,100.0,-0.0108,142.2314,1.0834
256,8.2,1,-100.9580,100.0,-0.0181,104.3587,1.0853
384,12.9,1,-110.2677,100.0,-0.0183,123.3897,1.0821
512,17.0,1,-108.8151,100.0,-0.0212,115.1317,1.0775
640,21.0,1,-104.1834,100.0,-0.0317,102.2942,1.0702
768,25.1,1,-111.1401,100.0,-0.0293,113.1323,1.0530
896,29.6,1,-103.8684,100.0,-0.0100,99.7721,1.0382
1024,33.8,1,-102.8980,100.0,0.0646,97.6438,0.9973
1152,37.9,1,-140.2767,100.0,-0.0065,175.5409,0.9282
1280,41.9,1,-132.6719,100.0,-0.0144,170.9391,0.9410
1408,46.0,1,-147.1226,100.0,-0.0243,216.8229,0.9395
1536,50.1,1,-129.2011,100.0,-0.0350,150.8727,0.9152
1664,54.3,1,-148.7804,100.0,-0.0182,208.5445,0.9250
1792,58.5,1,-141.7949,100.0,0.0691,192.7790,0.9055
1920,62.7,1,-128.2182,100.0,-0.0168,200.5232,0.8844
2048,66.7,1,-118.1652,100.0,0.0591,199.4358,0.7537
2176,70.9,1,-113.1195,100.0,0.0012,186.9457,0.7486
2304,75.0,1,-114.5031,100.0,-0.0034,189.7336,0.7762
2432,79.2,1,-108.4696,100.0,0.0240,187.8265,0.7464
2560,83.5,1,-105.6936,100.0,-0.0067,188.3920,0.7618
2688,87.7,1,-110.8133,100.0,-0.0214,202.3809,0.7323
2816,92.2,1,-109.3146,100.0,-0.0036,194.6224,0.7175
2944,96.7,1,-106.8686,100.0,-0.0097,188.9258,0.7278
3072,100.8,1,-106.5591,100.0,-0.0023,180.6423,0.7249
3200,105.0,1,-106.4532,100.0,0.0240,184.2326,0.7284
3328,109.3,1,-106.3872,100.0,0.0070,185.8701,0.7269
3456,113.5,1,-106.7308,100.0,-0.0120,184.3055,0.7055
3584,117.8,1,-107.2480,100.0,0.0206,188.0834,0.6974
3712,122.0,1,-103.7846,100.0,0.0076,185.5289,0.6593
3840,126.5,1,-106.3332,100.0,-0.0013,168.5674,0.6798
3968,130.9,1,-105.9627,100.0,-0.0120,181.0698,0.6991
4096,135.2,1,-110.8649,100.0,-0.0150,191.6887,0.6872
4224,139.2,1,-109.9741,100.0,-0.0227,185.9802,0.6718
4352,143.3,1,-107.2002,100.0,-0.0113,188.8266,0.6291
4480,147.5,1,-112.0008,100.0,-0.0106,193.1418,0.6200
4608,151.7,1,-104.8503,100.0,-0.0134,186.6165,0.5958
4736,155.9,1,-106.7961,100.0,-0.0244,188.0181,0.5836
4864,160.1,1,-106.0871,100.0,0.0080,188.4315,0.5944
4992,164.4,1,-104.7530,100.0,-0.0086,185.1630,0.5941
5120,168.5,1,-104.3497,100.0,-0.0237,184.5402,0.5771
5248,172.7,1,-104.5411,100.0,-0.0089,180.7075,0.5637
5376,177.2,1,-104.4925,100.0,-0.0018,183.1264,0.5582
5504,181.5,1,-104.7590,100.0,-0.0074,180.0266,0.5461
5632,185.7,1,-108.0739,100.0,-0.0062,182.8034,0.5514
5760,189.9,1,-114.0897,100.0,-0.0212,187.9405,0.5426
5888,194.0,1,-113.4841,100.0,-0.0207,189.2440,0.5531
6016,198.1,1,-110.0121,100.0,-0.0221,189.9896,0.5470
6144,202.4,1,-109.2735,100.0,-0.0169,183.5370,0.5351
6272,206.9,1,-114.2814,100.0,0.0019,196.2221,0.5215
6400,211.4,1,-115.0386,100.0,-0.0045,197.9343,0.4964
6528,215.6,1,-110.4520,100.0,-0.0300,187.4432,0.4564
6656,220.2,1,-119.9647,100.0,-0.0100,202.8502,0.4833
6784,224.5,1,-123.2012,100.0,-0.0126,216.6146,0.4683
6912,228.9,1,-113.6824,100.0,-0.0259,189.6945,0.4402
7040,233.2,1,-117.8650,100.0,-0.0064,218.9093,0.4308
7168,237.3,1,-108.8820,100.0,0.0006,199.6713,0.4160
7296,241.5,1,-114.3411,100.0,-0.0121,208.4824,0.3992
7424,245.5,1,-136.8500,100.0,0.0000,223.5091,0.3767
7552,249.6,1,-114.8472,100.0,-0.0119,209.5222,0.3586
7680,253.7,1,-118.0801,100.0,-0.0108,220.8255,0.3657
7808,257.9,1,-116.6184,100.0,-0.0079,215.9414,0.3451
7936,262.1,1,-117.2731,100.0,-0.0135,219.2165,0.3349
8064,266.4,1,-121.2315,100.0,-0.0167,218.8293,0.3374
8192,270.4,1,-112.8261,100.0,-0.0248,226.2780,0.3483
8320,274.9,1,-116.7185,100.0,-0.0088,216.3800,0.3487
8448,279.2,1,-117.6214,100.0,-0.0238,221.7082,0.3636
8576,283.5,1,-114.7555,100.0,-0.0042,208.3002,0.3410
8704,287.9,1,-109.8830,100.0,-0.0089,206.6752,0.3033
8832,292.2,1,-117.9626,100.0,0.0015,211.7636,0.3111
8960,296.5,1,-115.7572,100.0,-0.0105,218.9361,0.3261
9088,300.5,1,-116.3372,100.0,-0.0111,211.7045,0.3524
9216,304.5,1,-125.8787,100.0,-0.0229,199.9031,0.3556
9344,308.5,1,-116.5715,100.0,-0.0137,219.1398,0.3771
9472,312.6,1,-136.3208,100.0,-0.0059,257.0466,0.3577
9600,316.8,1,-114.1909,100.0,-0.0313,217.5741,0.3423
9728,321.0,1,-109.5981,100.0,-0.0012,217.4714,0.3245
9856,325.0,1,-121.4121,100.0,-0.0159,231.7506,0.3239
9984,329.2,1,-109.7331,100.0,-0.0033,213.9270,0.3171
10112,333.7,1,-110.6263,100.0,-0.0196,211.6363,0.3047
